        17         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4         4        11
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         *
         5         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         *
         5         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         *
         5         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         *
         5         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         *
         5         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         *
         5         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         *
         5         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         *
        18         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7        16
