        25         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7         7        34
         8         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        24         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X         X        13
         8         X         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X         X        13
         8         X         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X         X        13
         8         X         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X         X        13
         8         X         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X         X        13
         8         X         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X         X        13
         8         X        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10         X        13
         8        14         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        10        13
        35        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        13        36
