        42        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        14        44
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X         X        15
        12         X         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X         X        15
        12         X         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X         X        15
        12         X         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X         X        15
        12         X         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X         X        15
        12         X         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X         X        15
        12         X        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16         X        15
        12        15         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16        15
        36         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9        40
