        28        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        29
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X         X        12
         9         X         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X         X        12
         9         X         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X         X        12
         9         X         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X         X        12
         9         X         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X         X        12
         9         X         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X         X        12
         9         X         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8         X        12
         9         6         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         8        12
        24         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9         9        29
