        41        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        11        34
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        26         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X         X        16
        11         X         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X         X        16
        11         X         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X         X        16
        11         X         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X         X        16
        11         X         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X         X        16
        11         X         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X         X        16
        11         X         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19         X        16
        11         7         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X         X        19        16
        28        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        10        45
